"1","Vis","1","Quincaillerie","vis a filetage metrique","16","1","M3","tete fraisee","tete fraisee.jpg"
"2","Vis","1","Quincaillerie","vis a filetage metrique","20","1","M4","tete fraisee","tete fraisee.jpg"
"3","Vis","1","Quincaillerie","vis a filetage metrique","20","1","M5","tete fraisee","tete fraisee.jpg"
"4","Vis","2","Quincaillerie","vis a filetage metrique","80","1","M6","tete CHC","CHC.jpg"
"5","Vis","3","Quincaillerie","vis a filetage metrique","30","1","M12","tete BHC","BHC.jpg"
"6","Rondelle","4","Quincaillerie","Rondelle",,"1","M8",,"rondelle.jpg"
"7","Vis","5","Quincaillerie","vis a bois","80","1","6","tete fraisee","tete fraisee.jpg"
"8","Vis","6","Quincaillerie","vis a filetage metrique","70","1","M4","tete fendue","sans photo.jpg"
"9","Vis","7","Quincaillerie","vis a filetage metrique","45","1","M8","tete CHC","CHC.jpg"
"10","Vis","9","Quincaillerie","vis a filetage metrique","Vrac","1","M3","Vrac","sans photo.jpg"
"11","Ecrou","10","Quincaillerie","Ecrou Nylstop",,"1","M10",,
"12","Ecrou","10","Quincaillerie","Ecrou",,"1","M6",,
"13","Ecrou","11","Quincaillerie","Manchon","20","1","M5",,
"14","Ecrou","11","Quincaillerie","Manchon","20","1","M4",,
"15","Ecrou","11","Quincaillerie","Manchon","30","1","M6",,
"16","Chaine","12","Transmission de puissance","Chaine",,"1",,,
"17","Accouplement elastique","13","Transmission de puissance","Accouplement elastique",,"1","6-8",,
"18","Roulement lineaire","13","Transmission de puissance","Roulement lineaire",,"1","10",,
"19","Roulement lineaire","13","Transmission de puissance","Roulement lineaire",,"1","8",,
"20","Vis pression","13","Quincaillerie","vis pression","Vrac","1","Vrac","Vrac",
"21","Files rapportes","14","Outils","Filets rapportes",,"1","M6",,
"22","Dominos","15","Composants electroniques","Dominos","Vrac","1","Vrac",,
